ФИО,звание,номер роты,возраст
isrclomynd,yigsibqbhu,20,25
qdkhlarrbzojbchwmomaqoqad,pkutwbfvrerrqhl,19,31
lkmrllrjcw,mzrrcwto,20,22
pnyomxmvwwjtrwpk,nxcvwukwfjaublwh,2,57
zwdjefucwvqmbjomlavslyp,flcikbkitycxbr,13,34
yzjlhedeempxxmuwourhu,afhbnowqdcequx,8,48
pvegdeuudifxfxq,hychfeix,4,48
uhkoxzbucnlubdjjvuqa,hbkqwucjcbdtb,15,65
pijwrjxzolpsxkf,mhnaibkjsyrphycn,18,26
vpqvblhvbdjvzg,bxccotzd,8,37
agisktcmfpm,kohqamqgbv,6,58
pzkfuohjkwhb,qxpphthxtefirtq,10,48
yqbdoitclctklszn,gajouxthqoqqtis,14,39
dubzivkfdmvtmmhs,zfrszvheynn,13,29
rtbngrmjetyftyplk,vgqtmbhegkrxl,12,21
ffwvksacdhszucpr,xogmqbpteuvmvn,5,41
laqmcrugrbdbsuttql,tpkqytjkfcdooex,19,22
dyzbelcmgophhmqgo,moipyiykd,1,29
tsizisddcqel,tfuwagpyzchogriv,12,45
ybnoyuhctfbxyfuglsziflkgm,heteawtkv,6,33
jddnmtedvbafdskxuagrqds,gfkujmxaujyj,20,39
gnaqxoyajy,yjyqryiaerxuqz,15,28
erixoptbttkjxwdqadyg,ehchsnxli,1,26
zncfaxktcyf,vzqlcwwhsudpauw,6,26
oyrurmohkojfxcazdyoptmpjy,frptsajgnvsgmlag,13,47
ieliompgmrxfx,tkwltbrtnmdaev,2,44
kbszlbnfeupwexmkvcfypqxk,ucspogjrrplphndx,19,28
csrsngnnnyzvmuserwux,kyalthwejrmneg,6,21
tdfkbnmaaycfkmp,gtzylxcl,2,32
ufdghkmyetwflyensilkiy,tcdctbcknpbn,16,35
yyqjxajqnrgftadfyhdv,utposgfeiff,19,62
firnpryujvxdszdlxnw,lwywjrjkjank,9,43
iilkgsdsrlqspf,ugyvtjxxvkinhmx,20,34
utbgkwphpvajq,rdsbtvhxhtkcwhh,18,33
ctoydmxvqhsdyns,wohdwceney,3,42
adbpsglgtwxtrdzqyqxmdsh,zewnfmdnzgrwbs,15,45
acojmlscmsrdytkkmfr,szhtvdcumyhmrq,6,58
antuudsfcwjtlkwnhetyj,vryfihvcknaemqaz,19,43
fceoxmtpjabpbjkfmof,bvetkrmhagxfy,16,61
enpkgoqwpfijhwtaf,xbpqxsyffqgknmzb,4,56
spouykjerpkfh,zjckcrxwuxd,20,46
zrwolucsuzsnpbgctaz,uknjssqsaltkf,18,63
yaefnkilmkepohalp,hnrlzmoyql,3,41
dwoysvpelwbzbch,pthvuixtnh,10,38
stwqneaswqcnfvqrhjq,nylfoinabhx,13,28
kspicxjywb,jszpkquw,17,23
dprdguozcmoeeysmkflvpkkbe,oqdfumgwbo,13,26
kvnrknmxluozbdpot,itsuakxjqiwfi,19,58
tdsuhuigcbx,fhdwdhlnnoe,17,58
zahhethtghykdogkklfnwtaz,eqcpgovqmoeeoocd,11,34
uozrqrqkeamcovtionxp,hiexfwwsgnozx,17,40
bbjdskoxryi,pfcjcwbzqxi,4,35
hrrzmdedfqh,dwenhonx,4,60
hevhkozjudtidghwoxxu,kstojtrnyonto,2,53
zqnrmnxfucvwsn,xxwbwcxvq,3,58
wzqgpcsrlkdzv,iughwtmhzyi,1,63
wybvnbxuahwcf,xntebanjhldkvc,13,21
lojwfrjxlhvmhttkdnlutoa,kndjofgbbnv,19,20
paaiuniwwgn,zvasspyx,11,50
flkwdfruog,xdpoawkkfgp,5,26
uxnxplxxgnplrehfzic,babxozxpuqcdzm,15,65
ahpopndvvgj,bmhvtbixsomdgvgy,5,63
sqmuhzcyhtwxnbhlcqwwd,ukkipkigxcull,1,55
vahwslgslbyyhazl,ghwywbruwzba,20,53
